"Inicio del informe","Fin del informe","Nombre de la campaña","Hora del día (zona horaria de la cuenta publicitaria)",Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,0.41,0,0,18,,,,,0,,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,3.76,0,0,61,1,1,actions:onsite_conversion.lead_grouped,3.76,0,3.76,1,1,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,8.02,0,0,166,3,,,,0,2.67333333,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,17.18,0,0,332,3,1,actions:onsite_conversion.lead_grouped,17.18,0,5.72666667,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,15.37,0,0,286,1,,,,0,15.37,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,19.66,0,0,379,1,1,actions:onsite_conversion.lead_grouped,19.66,0,19.66,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,32.57,0,0,470,6,,,,0,5.42833333,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,13.56,0,0,364,8,1,actions:onsite_conversion.lead_grouped,13.56,0,1.695,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"19:00:00 - 19:59:59",2020-05-01,2020-05-31,13.25,0,0,290,3,,,,0,4.41666667,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"18:00:00 - 18:59:59",2020-05-01,2020-05-31,28.29,0,0,376,7,,,,0,4.04142857,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"17:00:00 - 17:59:59",2020-05-01,2020-05-31,14.49,0,0,292,1,,,,0,14.49,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"16:00:00 - 16:59:59",2020-05-01,2020-05-31,16.43,0,0,304,1,,,,0,16.43,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"15:00:00 - 15:59:59",2020-05-01,2020-05-31,12.92,0,0,320,4,1,actions:onsite_conversion.lead_grouped,12.92,0,3.23,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"14:00:00 - 14:59:59",2020-05-01,2020-05-31,10.79,0,0,253,2,,,,0,5.395,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"13:00:00 - 13:59:59",2020-05-01,2020-05-31,22.53,0,0,387,4,,,,0,5.6325,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"12:00:00 - 12:59:59",2020-05-01,2020-05-31,13.42,0,0,283,2,,,,0,6.71,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"11:00:00 - 11:59:59",2020-05-01,2020-05-31,12.73,0,0,229,3,,,,0,4.24333333,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"10:00:00 - 10:59:59",2020-05-01,2020-05-31,17.18,0,0,270,3,,,,0,5.72666667,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"09:00:00 - 09:59:59",2020-05-01,2020-05-31,9.98,0,0,228,,,,,0,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"08:00:00 - 08:59:59",2020-05-01,2020-05-31,10.85,0,0,176,1,,,,0,10.85,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"07:00:00 - 07:59:59",2020-05-01,2020-05-31,10.12,0,0,144,1,,,,0,10.12,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"06:00:00 - 06:59:59",2020-05-01,2020-05-31,1.77,0,0,56,,,,,0,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"05:00:00 - 05:59:59",2020-05-01,2020-05-31,2.39,0,0,39,1,,,,0,2.39,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"04:00:00 - 04:59:59",2020-05-01,2020-05-31,2.55,0,0,38,,,,,0,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,2.57,0,0,48,1,,,,0,2.57,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,3.9,0,0,57,2,1,actions:onsite_conversion.lead_grouped,3.9,0,1.95,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,16.66,0,0,203,8,,,,0,2.0825,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,17.77,0,0,208,2,1,actions:onsite_conversion.lead_grouped,17.77,0,8.885,1,1,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,6.29,0,0,105,2,1,actions:onsite_conversion.lead_grouped,6.29,0,3.145,1,1,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,26.32,0,0,429,2,,,,0,13.16,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,20.83,0,0,358,1,,,,0,20.83,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,27.09,0,0,400,3,,,,0,9.03,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"19:00:00 - 19:59:59",2020-05-01,2020-05-31,16.84,0,0,296,4,1,actions:onsite_conversion.lead_grouped,16.84,0,4.21,1,1,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"18:00:00 - 18:59:59",2020-05-01,2020-05-31,19.98,0,0,239,3,,,,0,6.66,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"17:00:00 - 17:59:59",2020-05-01,2020-05-31,26.91,0,0,258,3,2,actions:onsite_conversion.lead_grouped,13.455,0,8.97,2,2,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"16:00:00 - 16:59:59",2020-05-01,2020-05-31,13.98,0,0,274,3,1,actions:onsite_conversion.lead_grouped,13.98,0,4.66,1,1,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"15:00:00 - 15:59:59",2020-05-01,2020-05-31,12.88,0,0,204,2,,,,0,6.44,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"14:00:00 - 14:59:59",2020-05-01,2020-05-31,12.03,0,0,188,,,,,0,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"13:00:00 - 13:59:59",2020-05-01,2020-05-31,18.32,0,0,210,1,,,,0,18.32,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"12:00:00 - 12:59:59",2020-05-01,2020-05-31,19.25,0,0,285,1,,,,0,19.25,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"11:00:00 - 11:59:59",2020-05-01,2020-05-31,15.55,0,0,277,2,,,,0,7.775,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"10:00:00 - 10:59:59",2020-05-01,2020-05-31,11.77,0,0,236,,,,,0,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"09:00:00 - 09:59:59",2020-05-01,2020-05-31,17.58,0,0,300,1,,,,0,17.58,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"08:00:00 - 08:59:59",2020-05-01,2020-05-31,16.21,0,0,243,1,,,,0,16.21,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"07:00:00 - 07:59:59",2020-05-01,2020-05-31,8.31,0,0,146,,,,,0,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"06:00:00 - 06:59:59",2020-05-01,2020-05-31,1.91,0,0,46,,,,,0,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"05:00:00 - 05:59:59",2020-05-01,2020-05-31,2.12,0,0,28,1,,,,0,2.12,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"04:00:00 - 04:59:59",2020-05-01,2020-05-31,0.67,0,0,17,,,,,0,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,2.67,0,0,49,1,,,,0,2.67,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,4.38,0,0,77,2,,,,0,2.19,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,14.11,0,0,181,4,,,,0,3.5275,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,12.25,0,0,198,1,,,,0,12.25,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,16.1,0,0,317,3,,,,0,5.36666667,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,26.63,0,0,386,6,3,actions:onsite_conversion.lead_grouped,8.8766666666667,0,4.43833333,3,3,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,24.94,0,0,402,1,,,,0,24.94,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,21.59,0,0,354,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"19:00:00 - 19:59:59",2020-05-01,2020-05-31,17.89,0,0,357,1,,,,0,17.89,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"18:00:00 - 18:59:59",2020-05-01,2020-05-31,20.91,0,0,287,1,,,,0,20.91,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"17:00:00 - 17:59:59",2020-05-01,2020-05-31,22.09,0,0,443,3,,,,0,7.36333333,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"16:00:00 - 16:59:59",2020-05-01,2020-05-31,16.5,0,0,384,3,,,,0,5.5,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"15:00:00 - 15:59:59",2020-05-01,2020-05-31,20.69,0,0,338,5,1,actions:onsite_conversion.lead_grouped,20.69,0,4.138,1,1,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"14:00:00 - 14:59:59",2020-05-01,2020-05-31,13.98,0,0,256,3,,,,0,4.66,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"13:00:00 - 13:59:59",2020-05-01,2020-05-31,14.1,0,0,187,1,,,,0,14.1,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"12:00:00 - 12:59:59",2020-05-01,2020-05-31,10.38,0,0,141,3,,,,0,3.46,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"11:00:00 - 11:59:59",2020-05-01,2020-05-31,23.63,0,0,216,1,,,,0,23.63,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"10:00:00 - 10:59:59",2020-05-01,2020-05-31,15.07,0,0,250,2,,,,0,7.535,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"09:00:00 - 09:59:59",2020-05-01,2020-05-31,15.83,0,0,318,1,,,,0,15.83,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"08:00:00 - 08:59:59",2020-05-01,2020-05-31,12.41,0,0,153,2,1,actions:onsite_conversion.lead_grouped,12.41,0,6.205,1,1,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"07:00:00 - 07:59:59",2020-05-01,2020-05-31,5.56,0,0,50,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"06:00:00 - 06:59:59",2020-05-01,2020-05-31,0.1,0,0,3,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"05:00:00 - 05:59:59",2020-05-01,2020-05-31,1.66,0,0,25,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"04:00:00 - 04:59:59",2020-05-01,2020-05-31,0.36,0,0,11,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,1.54,0,0,24,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,5.62,0,0,49,,,,,0,,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,2.76,0,0,30,1,,,,0,2.76,,,,,
2020-05-01,2020-05-01,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,0,0,0,1,,,,,0,,,,,,
