"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,0.43,12,1.1666666666667,14,,,,,35.83333333,,,,,,
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,49.72,394,1.1192893401015,441,7,,,,126.1928934,7.10285714,,,,,
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,52.98,282,1.1524822695035,325,2,,,,187.87234043,26.49,,,,,
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.77,19,1.0526315789474,20,,,,,93.15789474,,,,,,
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,85.33,1185,1.104641350211,1309,7,2,actions:onsite_conversion.lead_grouped,42.665,72.00843882,12.19,2,2,,,
2020-05-20,2020-05-20,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,76.96,816,1.125,918,10,1,actions:onsite_conversion.lead_grouped,76.96,94.31372549,7.696,1,1,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,1.73,24,1.0416666666667,25,1,,,,72.08333333,1.73,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,28.34,44,1.2045454545455,53,1,1,actions:onsite_conversion.lead_grouped,28.34,644.09090909,28.34,1,1,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.19,2,1,2,,,,,95,,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,10.61,79,1.0759493670886,85,,,,,134.30379747,,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,14.3,88,1.1022727272727,97,1,,,,162.5,14.3,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.35,17,1.2352941176471,21,,,,,79.41176471,,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,46.2,338,1.1242603550296,380,4,1,actions:onsite_conversion.lead_grouped,46.2,136.68639053,11.55,1,1,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,40.51,236,1.0677966101695,252,5,1,actions:onsite_conversion.lead_grouped,40.51,171.65254237,8.102,1,1,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.8,19,1,19,,,,,94.73684211,,,,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,100.41,1208,1.0794701986755,1304,8,1,actions:onsite_conversion.lead_grouped,100.41,83.12086093,12.55125,1,1,,,
2020-05-19,2020-05-19,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,82.41,724,1.0911602209945,790,8,1,actions:onsite_conversion.lead_grouped,82.41,113.82596685,10.30125,1,1,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,4.89,35,1.1142857142857,39,,,,,139.71428571,,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,20.72,49,1.1836734693878,58,3,,,,422.85714286,6.90666667,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0,1,1,1,,,,,0,,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,12.32,144,1.0833333333333,156,,,,,85.55555556,,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,15.27,108,1.0648148148148,115,4,,,,141.38888889,3.8175,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.42,23,1.0434782608696,24,,,,,61.73913043,,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,44.15,477,1.0566037735849,504,5,1,actions:onsite_conversion.lead_grouped,44.15,92.55765199,8.83,1,1,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,46,313,1.073482428115,336,4,1,actions:onsite_conversion.lead_grouped,46,146.96485623,11.5,1,1,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.58,36,1.0833333333333,39,,,,,43.88888889,,,,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,91.39,1884,1.0987261146497,2070,16,5,actions:onsite_conversion.lead_grouped,18.278,48.50849257,5.711875,5,5,,,
2020-05-18,2020-05-18,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,76.92,1177,1.0875106202209,1280,10,,,,65.35259133,7.692,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,2.25,35,1.2,42,,,,,64.28571429,,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,11.16,48,1.1875,57,,,,,232.5,,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.16,8,1,8,,,,,20,,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,13.17,122,1.1065573770492,135,2,,,,107.95081967,6.585,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,19,146,1.1438356164384,167,6,,,,130.1369863,3.16666667,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,2.84,30,1.2,36,,,,,94.66666667,,,,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,35.71,455,1.1230769230769,511,8,1,actions:onsite_conversion.lead_grouped,35.71,78.48351648,4.46375,1,1,,,
2020-05-17,2020-05-17,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,53.9,421,1.1567695961995,487,2,,,,128.02850356,26.95,,,,,
