"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,20.88,183,1.1584699453552,212,2,,,,114.09836066,10.44,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,27.14,151,1.1258278145695,170,,,,,179.73509934,,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,3.58,27,1.2222222222222,33,,,,,132.59259259,,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,39.62,436,1.1032110091743,481,3,,,,90.87155963,13.20666667,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,46.62,320,1.09375,350,2,1,actions:onsite_conversion.lead_grouped,46.62,145.6875,23.31,1,1,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,2.74,30,1.1333333333333,34,1,1,actions:onsite_conversion.lead_grouped,2.74,91.33333333,2.74,1,1,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,94.59,1332,1.1381381381381,1516,12,3,actions:onsite_conversion.lead_grouped,31.53,71.01351351,7.8825,3,3,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,71.16,880,1.1352272727273,999,13,4,actions:onsite_conversion.lead_grouped,17.79,80.86363636,5.47384615,4,4,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.19,3,1,3,,,,,63.33333333,,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,3.51,72,1.0833333333333,78,,,,,48.75,,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,11.55,93,1.0860215053763,101,,,,,124.19354839,,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.1,6,1,6,,,,,16.66666667,,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,31.83,170,1.1352941176471,193,4,1,actions:onsite_conversion.lead_grouped,31.83,187.23529412,7.9575,1,1,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,18.82,144,1.1388888888889,164,2,,,,130.69444444,9.41,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,0.54,12,1,12,,,,,45,,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,31.25,327,1.1100917431193,363,6,,,,95.56574924,5.20833333,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,36.87,282,1.0957446808511,309,6,1,actions:onsite_conversion.lead_grouped,36.87,130.74468085,6.145,1,1,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.57,18,1.1666666666667,21,1,,,,87.22222222,1.57,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,92.35,868,1.1405529953917,990,8,,,,106.39400922,11.54375,,,,,
2020-05-12,2020-05-12,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,88.48,766,1.1579634464752,887,5,2,actions:onsite_conversion.lead_grouped,44.24,115.50913838,17.696,2,2,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,7.44,81,1.1358024691358,92,1,,,,91.85185185,7.44,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,8.03,83,1.1325301204819,94,,,,,96.74698795,,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,2.62,4,1,4,,,,,655,,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,19.39,216,1.1527777777778,249,1,,,,89.76851852,19.39,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,19.91,218,1.0871559633028,237,4,1,actions:onsite_conversion.lead_grouped,19.91,91.33027523,4.9775,1,1,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,2.25,29,1.1724137931034,34,,,,,77.5862069,,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,49.73,495,1.1616161616162,575,6,,,,100.46464646,8.28833333,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,33.47,400,1.105,442,5,1,actions:onsite_conversion.lead_grouped,33.47,83.675,6.694,1,1,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,0.97,24,1.0833333333333,26,,,,,40.41666667,,,,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,92.75,1443,1.1815661815662,1705,9,1,actions:onsite_conversion.lead_grouped,92.75,64.27581428,10.30555556,1,1,,,
2020-05-11,2020-05-11,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,85.7,1248,1.1578525641026,1445,10,1,actions:onsite_conversion.lead_grouped,85.7,68.66987179,8.57,1,1,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.73,2,1,2,,,,,365,,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,4.02,59,1.0847457627119,64,1,,,,68.13559322,4.02,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,5.9,54,1.037037037037,56,,,,,109.25925926,,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.39,8,1,8,,,,,48.75,,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,20.34,187,1.1016042780749,206,3,,,,108.77005348,6.78,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,22.43,111,1.1531531531532,128,2,,,,202.07207207,11.215,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.67,22,1.1818181818182,26,,,,,75.90909091,,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,51.33,453,1.1390728476821,516,3,1,actions:onsite_conversion.lead_grouped,51.33,113.31125828,17.11,1,1,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,38.35,306,1.140522875817,349,5,1,actions:onsite_conversion.lead_grouped,38.35,125.32679739,7.67,1,1,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,2.07,29,1.2068965517241,35,,,,,71.37931034,,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,80.87,1361,1.1491550330639,1564,15,,,,59.41954445,5.39133333,,,,,
2020-05-10,2020-05-10,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,87.95,1025,1.1687804878049,1198,14,1,actions:onsite_conversion.lead_grouped,87.95,85.80487805,6.28214286,1,1,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.06,3,1,3,,,,,20,,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,10.12,110,1.0454545454545,115,1,,,,92,10.12,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,9.16,77,1.0909090909091,84,1,,,,118.96103896,9.16,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.86,11,1.0909090909091,12,,,,,78.18181818,,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,35.86,311,1.0900321543408,339,4,,,,115.30546624,8.965,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,30.48,196,1.1020408163265,216,4,,,,155.51020408,7.62,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,3.04,33,1.1818181818182,39,,,,,92.12121212,,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,62.06,623,1.1524879614767,718,7,,,,99.61476726,8.86571429,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,48.68,362,1.1298342541436,409,2,,,,134.47513812,24.34,,,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.71,13,1.1538461538462,15,1,1,actions:onsite_conversion.lead_grouped,1.71,131.53846154,1.71,1,1,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,65.07,991,1.1826437941473,1172,9,3,actions:onsite_conversion.lead_grouped,21.69,65.66094854,7.23,3,3,,,
2020-05-09,2020-05-09,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,58.38,598,1.1555183946488,691,10,4,actions:onsite_conversion.lead_grouped,14.595,97.62541806,5.838,4,4,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.32,2,1,2,,,,,160,,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,9.02,111,1.0990990990991,122,2,1,actions:onsite_conversion.lead_grouped,9.02,81.26126126,4.51,1,1,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,10.9,95,1.0526315789474,100,,,,,114.73684211,,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.23,6,1,6,,,,,38.33333333,,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,41.79,329,1.0881458966565,358,3,,,,127.0212766,13.93,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,24.57,231,1.0865800865801,251,2,,,,106.36363636,12.285,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.04,17,1.3529411764706,23,,,,,61.17647059,,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,54.28,593,1.1214165261383,665,6,,,,91.53456998,9.04666667,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,44.68,387,1.1343669250646,439,2,,,,115.45219638,22.34,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.72,20,1.25,25,1,,,,86,1.72,,,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,78.38,953,1.1605456453305,1106,9,1,actions:onsite_conversion.lead_grouped,78.38,82.2455404,8.70888889,1,1,,,
2020-05-08,2020-05-08,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,60.47,683,1.1390922401171,778,6,1,actions:onsite_conversion.lead_grouped,60.47,88.53587116,10.07833333,1,1,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.01,1,1,1,,,,,10,,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,5.37,106,1.0471698113208,111,1,,,,50.66037736,5.37,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,7.34,90,1.0666666666667,96,,,,,81.55555556,,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.28,4,1.25,5,,,,,70,,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,43.26,369,1.0406504065041,384,4,1,actions:onsite_conversion.lead_grouped,43.26,117.23577236,10.815,1,1,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,24.61,272,1.0514705882353,286,6,1,actions:onsite_conversion.lead_grouped,24.61,90.47794118,4.10166667,1,1,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,0.47,22,1.0454545454545,23,1,,,,21.36363636,0.47,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,53.7,797,1.0878293601004,867,10,1,actions:onsite_conversion.lead_grouped,53.7,67.37766625,5.37,1,1,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,48.01,510,1.0686274509804,545,3,,,,94.1372549,16.00333333,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.95,20,1.2,24,1,,,,97.5,1.95,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,70.61,1591,1.0898805782527,1734,14,,,,44.38089252,5.04357143,,,,,
2020-05-07,2020-05-07,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,61.78,1035,1.087922705314,1126,5,,,,59.69082126,12.356,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.13,3,1,3,,,,,43.33333333,,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,9.67,132,1.1212121212121,148,4,,,,73.25757576,2.4175,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,6.5,106,1.0188679245283,108,2,1,actions:onsite_conversion.lead_grouped,6.5,61.32075472,3.25,1,1,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.42,7,1,7,,,,,60,,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,41.89,396,1.1186868686869,443,7,1,actions:onsite_conversion.lead_grouped,41.89,105.78282828,5.98428571,1,1,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,19.03,236,1.1525423728814,272,3,,,,80.63559322,6.34333333,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.1,20,1.45,29,,,,,55,,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,47.82,838,1.0894988066826,913,8,1,actions:onsite_conversion.lead_grouped,47.82,57.06443914,5.9775,1,1,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,34.65,450,1.0866666666667,489,6,1,actions:onsite_conversion.lead_grouped,34.65,77,5.775,1,1,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.06,28,1,28,,,,,37.85714286,,,,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,80.69,1808,1.1565265486726,2091,14,1,actions:onsite_conversion.lead_grouped,80.69,44.62942478,5.76357143,1,1,,,
2020-05-06,2020-05-06,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,65.94,1124,1.0871886120996,1222,9,1,actions:onsite_conversion.lead_grouped,65.94,58.66548043,7.32666667,1,1,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,11.97,119,1.1176470588235,133,5,,,,100.58823529,2.394,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,9.31,107,1.196261682243,128,2,,,,87.00934579,4.655,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.14,6,1.1666666666667,7,,,,,23.33333333,,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,31.07,343,1.1078717201166,380,1,,,,90.58309038,31.07,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,22.7,235,1.1063829787234,260,7,2,actions:onsite_conversion.lead_grouped,11.35,96.59574468,3.24285714,2,2,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,2.37,29,1.1724137931034,34,1,,,,81.72413793,2.37,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,55.1,659,1.1714719271624,772,5,1,actions:onsite_conversion.lead_grouped,55.1,83.61153263,11.02,1,1,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,43.03,396,1.1439393939394,453,4,1,actions:onsite_conversion.lead_grouped,43.03,108.66161616,10.7575,1,1,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.89,21,1.1904761904762,25,,,,,90,,,,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,84.88,1330,1.1691729323308,1555,20,3,actions:onsite_conversion.lead_grouped,28.293333333333,63.81954887,4.244,3,3,,,
2020-05-05,2020-05-05,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,55.57,876,1.1301369863014,990,11,2,actions:onsite_conversion.lead_grouped,27.785,63.43607306,5.05181818,2,2,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.04,0,0,2,,,,,0,,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,10.22,118,1.271186440678,150,1,,,,86.61016949,10.22,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,10.09,110,1.3,143,2,,,,91.72727273,5.045,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,2.53,10,1.1,11,,,,,253,,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,26.8,378,1.0978835978836,415,7,3,actions:onsite_conversion.lead_grouped,8.9333333333333,70.8994709,3.82857143,3,3,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,20.45,312,1.0032051282051,313,2,1,actions:onsite_conversion.lead_grouped,20.45,65.54487179,10.225,1,1,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,5.24,30,1.4666666666667,44,,,,,174.66666667,,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,62.62,886,1.1422121896163,1012,11,,,,70.6772009,5.69272727,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,34.53,546,1.1648351648352,636,9,1,actions:onsite_conversion.lead_grouped,34.53,63.24175824,3.83666667,1,1,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.89,30,1.3333333333333,40,,,,,63,,,,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,74.31,2054,1.1358325219085,2333,12,1,actions:onsite_conversion.lead_grouped,74.31,36.1781889,6.1925,1,1,,,
2020-05-04,2020-05-04,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,70.6,1368,1.1732456140351,1605,8,1,actions:onsite_conversion.lead_grouped,70.6,51.60818713,8.825,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,7.65,70,1.1714285714286,82,2,1,actions:onsite_conversion.lead_grouped,7.65,109.28571429,3.825,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,8.05,62,1.2258064516129,76,2,1,actions:onsite_conversion.lead_grouped,8.05,129.83870968,4.025,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,1.37,8,1,8,,,,,171.25,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,25.98,258,1.077519379845,278,4,,,,100.69767442,6.495,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,17.15,168,1.1190476190476,188,2,,,,102.08333333,8.575,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.44,36,1.0277777777778,37,,,,,40,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,49.48,721,1,721,10,1,actions:onsite_conversion.lead_grouped,49.48,68.62690707,4.948,1,1,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,46.33,430,1.1697674418605,503,6,,,,107.74418605,7.72166667,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,0.83,42,1,42,,,,,19.76190476,,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,74.05,1846,1.1153846153846,2059,14,,,,40.11375948,5.28928571,,,,,
2020-05-03,2020-05-03,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,89.42,1546,1.1034928848642,1706,22,2,actions:onsite_conversion.lead_grouped,44.71,57.83958603,4.06454545,2,2,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,9.76,103,1.1165048543689,115,,,,,94.75728155,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,12.17,93,1.1075268817204,103,1,,,,130.86021505,12.17,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.45,10,1.1,11,,,,,45,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,31.02,303,1.0957095709571,332,2,,,,102.37623762,15.51,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,26.48,229,1.1528384279476,264,,,,,115.63318777,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.38,27,1.2592592592593,34,,,,,51.11111111,,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,51.4,676,1.1257396449704,761,7,,,,76.03550296,7.34285714,,,,,
2020-05-02,2020-05-02,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,49.87,493,1.1257606490872,555,6,4,actions:onsite_conversion.lead_grouped,12.4675,101.15618661,8.31166667,4,4,,,
