,"cliente","Año-Mes","plataforma_abreviacion","inicio_reporte","fin_reporte","tipo_conversion","fuente_medio","Nombre_Campaña","llave_analytcis","conversiones","revenue","archivo"
74,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocialdsp / 2003_rs_ecom_ao_dsp","2003_RS_ECOM_AO_FUNKOEXCLUSIVOPICOLLO_4AL31_DSP",,1,39,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
0,"RadioShack","2003_Marzo","DSP","2020-03-01","2020-03-08","Asistida","adsocialdsp / 2003_rs_ecom_ao_dsp","2003_RS_ECOM_AO_FUNKOS_2AL31_DSP",,1,150,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
1,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Directa","adsocialfb / 2003_rs_ecom_ao_fb","2003_RS_ECOM_AO_FUNKOS_2AL31_FB",,1,1584,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200317-20200324.xlsx"
2,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocialfb / 2003_rs_ecom_ao_fb","2003_RS_ECOM_AO_FUNKOS_2AL31_FB",,2,1098,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
3,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocialdsp / 2003_rs_ecom_ao_dsp","2003_RS_ECOM_AO_PREVENTACITIBANAMEX_12MARZO_DSP",,1,39,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
4,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_ecom_ao_fb","2003_RS_ECOM_AO_SHACKHOMEENERGIA_4AL31_FB",,1,1089.35,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
5,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_ecom_ao_fb","2003_RS_ECOM_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,1,329,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
6,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_ecom_shackdayscadena_fb","2003_RS_ECOM_SHACKDAYSCADENA_13AL16_FB",,4,2496.3,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
7,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_ecom_shackdayscadena_fb","2003_RS_ECOM_SHACKDAYSCADENA_13AL16_FB",,10,15051,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
8,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Directa","adsocialfb / 2003_rs_ecom_shackdayscadena_fb","2003_RS_ECOM_SHACKDAYSCADENA_13AL16_FB",,1,449,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200317-20200324.xlsx"
