,cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,dias_mes,dias_semana,inversion_diaria,inversion_semanal
385,gwep,lutecia,2004_gwep_lutecia_pi_pfm_fb,2004_gwep_lutecia_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Facebook,2020-04-01,2020-04-30,2020-04-01,2020-04-30,4.5,2500.0,0.0,13000.0,13000.0,13000.0,13000.0,0.0,4.5,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,3429.54,108223.0,1104.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0,30,8,433.3333333333333,3466.6666666666665
386,gwep,lutecia,2004_gwep_lutecia_pi_pfm_fb,2004_gwep_lutecia_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Facebook,2020-04-01,2020-04-30,2020-04-01,2020-04-30,4.5,2500.0,0.0,13000.0,13000.0,13000.0,13000.0,0.0,4.5,,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,2620.95,71508.0,666.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_fb_2020-04-25,0.0,0.0,0.0,0.0,0,0,30,6,433.3333333333333,2600.0
387,gwep,lutecia,2004_gwep_lutecia_pi_pfm_fb,2004_gwep_lutecia_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Facebook,2020-04-01,2020-04-30,2020-04-01,2020-04-30,4.5,2500.0,0.0,13000.0,13000.0,13000.0,13000.0,0.0,4.5,,2020-04-01,2020-04-08,2020-04-01,2020-04-08,MXN,3418.41,137531.0,1401.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0,30,8,433.3333333333333,3466.6666666666665
388,gwep,lutecia,2004_gwep_lutecia_pi_pfm_fb,2004_gwep_lutecia_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Facebook,2020-04-01,2020-04-30,2020-04-01,2020-04-30,4.5,2500.0,0.0,13000.0,13000.0,13000.0,13000.0,0.0,4.5,,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,3400.87,123297.0,1191.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_fb_2020-04-09,0.0,0.0,0.0,0.0,0,0,30,8,433.3333333333333,3466.6666666666665
389,gwep,lutecia,2004_gwep_lutecia_pi_pfm_sem,2004_gwep_lutecia_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Google Search,2020-04-01,2020-04-30,2020-02-01,2020-04-24,10.0,1100.0,0.0,11000.0,11000.0,11000.0,11000.0,0.0,10.0,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,2923.0,30206.0,406.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_sem_2020-04-17,0.0,0.0,0.0,0.0,0,0,30,8,366.6666666666667,2933.3333333333335
390,gwep,lutecia,2004_gwep_lutecia_pi_pfm_sem,2004_gwep_lutecia_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Google Search,2020-04-01,2020-04-30,2020-02-01,2020-04-30,10.0,1100.0,0.0,11000.0,11000.0,11000.0,11000.0,0.0,10.0,,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,2228.17,18867.0,321.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_sem_2020-04-25,0.0,0.0,0.0,0.0,0,0,30,6,366.6666666666667,2200.0
391,gwep,lutecia,2004_gwep_lutecia_pi_pfm_sem,2004_gwep_lutecia_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Google Search,2020-04-01,2020-04-30,2020-02-01,2020-04-08,10.0,1100.0,0.0,11000.0,11000.0,11000.0,11000.0,0.0,10.0,,2020-04-01,2020-04-08,2020-04-01,2020-04-08,MXN,2920.19,27031.0,409.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_sem_2020-04-01,0.0,0.0,0.0,0.0,0,0,30,8,366.6666666666667,2933.3333333333335
392,gwep,lutecia,2004_gwep_lutecia_pi_pfm_sem,2004_gwep_lutecia_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,lutecia,Google Search,2020-04-01,2020-04-30,2020-02-01,2020-04-16,10.0,1100.0,0.0,11000.0,11000.0,11000.0,11000.0,0.0,10.0,,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,2908.87,25479.0,415.0,0.0,0.0,2004_gwep_lutecia_pi_pfm_sem_2020-04-09,0.0,0.0,0.0,0.0,0,0,30,8,366.6666666666667,2933.3333333333335
393,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_dsp,2001_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Programmatic,2020-01-01,2020-01-31,2019-12-01,2020-01-31,34.56,167238.0,220.75,5779.25,6000.0,3900.0,3679.25,220.75,22.0,,2020-01-01,2020-01-08,2020-01-01,2020-01-08,MXN,1736.6745600000002,50251.0,64.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_dsp_2020-01-01,0.0,0.0,0.0,0.0,0,0,31,8,193.5483870967742,1548.3870967741937
394,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_dsp,2001_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Programmatic,2020-01-01,2020-01-31,2019-12-01,2020-01-31,34.56,167238.0,220.75,5779.25,6000.0,3900.0,3679.25,220.75,22.0,,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,1403.3088,40605.0,41.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_dsp_2020-01-17,0.0,0.0,0.0,0.0,0,0,31,8,193.5483870967742,1548.3870967741937
395,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_dsp,2001_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Programmatic,2020-01-01,2020-01-31,2019-12-01,2020-01-31,34.56,167238.0,220.75,5779.25,6000.0,3900.0,3679.25,220.75,22.0,,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,1481.2761600000001,42861.0,38.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_dsp_2020-01-09,0.0,0.0,0.0,0.0,0,0,31,8,193.5483870967742,1548.3870967741937
396,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_dsp,2001_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Programmatic,2020-01-01,2020-01-31,2019-12-01,2020-01-31,34.56,167238.0,220.75,5779.25,6000.0,3900.0,3679.25,220.75,22.0,,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1277.1648,36955.0,26.0,2.0,0.0,2001_gwep_parquehacienda_pi_pfm_dsp_2020-01-25,2.0,0.0,0.0,0.0,0,0,31,7,193.5483870967742,1354.8387096774195
397,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_fb,2001_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Facebook,2020-01-01,2020-01-31,2019-12-06,2020-01-31,6.0,1333.0,0.0,8000.0,8000.0,8000.0,8000.0,0.0,6.0,,2020-01-01,2020-01-08,2020-01-01,2020-01-08,MXN,1411.09,7431.0,78.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_fb_2020-01-01,0.0,0.0,0.0,0.0,0,0,31,8,258.06451612903226,2064.516129032258
398,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_fb,2001_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Facebook,2020-01-01,2020-01-31,2019-12-06,2020-01-31,6.0,1333.0,0.0,8000.0,8000.0,8000.0,8000.0,0.0,6.0,,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,2301.61,10836.0,119.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0,31,8,258.06451612903226,2064.516129032258
399,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_fb,2001_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Facebook,2020-01-01,2020-01-31,2019-12-06,2020-01-31,6.0,1333.0,0.0,8000.0,8000.0,8000.0,8000.0,0.0,6.0,,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,2313.64,13928.0,138.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0,31,8,258.06451612903226,2064.516129032258
400,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_fb,2001_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Facebook,2020-01-01,2020-01-31,2019-12-06,2020-01-31,6.0,1333.0,0.0,8000.0,8000.0,8000.0,8000.0,0.0,6.0,,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,1956.04,8686.0,91.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0,31,7,258.06451612903226,1806.4516129032259
401,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_sem,2001_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Google Search,2020-01-01,2020-01-31,2019-12-01,2020-01-31,10.0,1000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,10.0,,2020-01-01,2020-01-08,2020-01-01,2020-01-08,MXN,833.02,3069.0,124.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_sem_2020-01-01,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
402,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_sem,2001_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Google Search,2020-01-01,2020-01-31,2019-12-01,2020-01-31,10.0,1000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,10.0,,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,3312.74,36835.0,483.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
403,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_sem,2001_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Google Search,2020-01-01,2020-01-31,2019-12-01,2020-01-31,10.0,1000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,10.0,,2020-01-09,2020-01-16,2020-01-09,2020-01-16,MXN,3340.58,39314.0,549.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
404,gwep,parquehacienda,2001_gwep_parquehacienda_pi_pfm_sem,2001_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,parquehacienda,Google Search,2020-01-01,2020-01-31,2019-12-01,2020-01-31,10.0,1000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,10.0,,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,2319.88,20213.0,331.0,0.0,0.0,2001_gwep_parquehacienda_pi_pfm_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0,31,7,322.5806451612903,2258.064516129032
407,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_dsp,2002_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Programmatic,2020-02-01,2020-02-28,2020-02-01,2020-02-29,34.56,55628.0,73.43,1922.34,1995.77,1297.25,1223.82,73.43,22.0,,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,534.7123200000001,15472.0,11.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_dsp_2020-02-01,0.0,0.0,0.0,0.0,0,0,28,8,71.2775,570.22
408,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_dsp,2002_gwep_parquehacienda_pi_pfm_dsp_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Programmatic,2020-02-01,2020-02-28,2020-02-01,2020-02-29,34.56,55628.0,73.43,1922.34,1995.77,1297.25,1223.82,73.43,22.0,,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,86.08896,2491.0,3.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_dsp_2020-02-09,0.0,0.0,0.0,0.0,0,0,28,8,71.2775,570.22
409,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_fb,2002_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Facebook,2020-02-01,2020-02-28,2020-02-01,2020-02-29,6.0,1667.0,0.0,10002.12,10002.12,10002.12,10002.12,0.0,6.0,,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,3249.35,21958.0,176.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0,28,8,357.21857142857147,2857.7485714285717
410,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_fb,2002_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Facebook,2020-02-01,2020-02-28,2020-02-01,2020-02-29,6.0,1667.0,0.0,10002.12,10002.12,10002.12,10002.12,0.0,6.0,,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,2238.98,17188.0,128.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_fb_2020-02-25,0.0,0.0,0.0,0.0,0,0,28,5,357.21857142857147,1786.0928571428574
411,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_fb,2002_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Facebook,2020-02-01,2020-02-28,2020-02-01,2020-02-29,6.0,1667.0,0.0,10002.12,10002.12,10002.12,10002.12,0.0,6.0,,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2199.61,11963.0,124.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0,28,8,357.21857142857147,2857.7485714285717
412,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_fb,2002_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Facebook,2020-02-01,2020-02-28,2020-02-01,2020-02-29,6.0,1667.0,0.0,10002.12,10002.12,10002.12,10002.12,0.0,6.0,,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2200.24,11423.0,121.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0,28,8,357.21857142857147,2857.7485714285717
413,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_sem,2002_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Google Search,2020-02-01,2020-02-28,2020-02-01,2020-02-24,10.0,1200.0,0.0,12002.12,12002.12,12002.12,12002.12,0.0,10.0,,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,3890.23,29554.0,513.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_sem_2020-02-17,0.0,0.0,0.0,0.0,0,0,28,8,428.6471428571429,3429.1771428571433
414,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_sem,2002_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Google Search,2020-02-01,2020-02-28,2020-02-01,2020-02-29,10.0,1200.0,0.0,12002.12,12002.12,12002.12,12002.12,0.0,10.0,,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,2452.87,21001.0,298.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_sem_2020-02-25,0.0,0.0,0.0,0.0,0,0,28,5,428.6471428571429,2143.2357142857145
415,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_sem,2002_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Google Search,2020-02-01,2020-02-28,2020-02-01,2020-02-08,10.0,1200.0,0.0,12002.12,12002.12,12002.12,12002.12,0.0,10.0,,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2793.35,32397.0,409.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0,28,8,428.6471428571429,3429.1771428571433
416,gwep,parquehacienda,2002_gwep_parquehacienda_pi_pfm_sem,2002_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,parquehacienda,Google Search,2020-02-01,2020-02-28,2020-02-01,2020-02-16,10.0,1200.0,0.0,12002.12,12002.12,12002.12,12002.12,0.0,10.0,,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2749.26,21974.0,360.0,0.0,0.0,2002_gwep_parquehacienda_pi_pfm_sem_2020-02-09,0.0,0.0,0.0,0.0,0,0,28,8,428.6471428571429,3429.1771428571433
417,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_fb,2003_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Facebook,2020-03-01,2020-03-31,2020-03-01,2020-03-31,6.0,1667.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,6.0,,2020-03-01,2020-03-08,2020-03-01,2020-03-08,MXN,2577.47,24469.0,186.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_fb_2020-03-01,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
418,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_fb,2003_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Facebook,2020-03-01,2020-03-31,2020-03-01,2020-03-31,6.0,1667.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,6.0,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,2570.5,29816.0,236.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
419,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_fb,2003_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Facebook,2020-03-01,2020-03-31,2020-03-01,2020-03-31,6.0,1667.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,6.0,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,2169.95,21019.0,199.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0,31,7,322.5806451612903,2258.064516129032
420,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_fb,2003_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Facebook,2020-03-01,2020-03-31,2020-03-01,2020-03-31,6.0,1667.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,6.0,,2020-03-09,2020-03-16,2020-03-09,2020-03-16,MXN,2561.1,25785.0,193.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0,31,8,322.5806451612903,2580.6451612903224
421,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_gdn,2003_gwep_parquehacienda_pi_pfm_gdn_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Display,2020-03-01,2020-03-31,2020-03-02,2020-03-08,2.5,800.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,,2020-03-01,2020-03-08,2020-03-02,2020-03-08,MXN,498.78,102381.0,660.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_gdn_2020-03-01,0.0,0.0,0.0,0.0,0,0,31,7,64.51612903225806,451.61290322580646
422,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_gdn,2003_gwep_parquehacienda_pi_pfm_gdn_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Display,2020-03-01,2020-03-31,2020-03-02,2020-03-24,2.5,800.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,518.19,55459.0,344.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_gdn_2020-03-17,0.0,0.0,0.0,0.0,0,0,31,8,64.51612903225806,516.1290322580645
423,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_gdn,2003_gwep_parquehacienda_pi_pfm_gdn_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Display,2020-03-01,2020-03-31,2020-03-02,2020-03-31,2.5,800.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,443.18,61585.0,341.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_gdn_2020-03-25,0.0,0.0,0.0,0.0,0,0,31,7,64.51612903225806,451.61290322580646
424,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_gdn,2003_gwep_parquehacienda_pi_pfm_gdn_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Display,2020-03-01,2020-03-31,2020-03-02,2020-03-16,2.5,800.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,,2020-03-09,2020-03-16,2020-03-09,2020-03-16,MXN,535.26,70083.0,451.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_gdn_2020-03-09,0.0,0.0,0.0,0.0,0,0,31,8,64.51612903225806,516.1290322580645
425,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_sem,2003_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Search,2020-03-01,2020-03-31,2020-02-01,2020-03-08,10.0,900.0,0.0,9000.0,9000.0,11000.0,11000.0,0.0,6.25,,2020-03-01,2020-03-08,2020-03-01,2020-03-08,MXN,2516.46,19603.0,324.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_sem_2020-03-01,0.0,0.0,0.0,0.0,0,0,31,8,290.3225806451613,2322.5806451612902
426,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_sem,2003_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Search,2020-03-01,2020-03-31,2020-02-01,2020-03-24,10.0,900.0,0.0,9000.0,9000.0,11000.0,11000.0,0.0,6.25,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,2240.74,16397.0,287.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0,31,8,290.3225806451613,2322.5806451612902
427,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_sem,2003_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Search,2020-03-01,2020-03-31,2020-02-01,2020-03-31,10.0,900.0,0.0,9000.0,9000.0,11000.0,11000.0,0.0,6.25,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,1949.49,13119.0,273.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0,31,7,290.3225806451613,2032.258064516129
428,gwep,parquehacienda,2003_gwep_parquehacienda_pi_pfm_sem,2003_gwep_parquehacienda_pi_pfm_sem_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,parquehacienda,Google Search,2020-03-01,2020-03-31,2020-02-01,2020-03-16,10.0,900.0,0.0,9000.0,9000.0,11000.0,11000.0,0.0,6.25,,2020-03-09,2020-03-16,2020-03-09,2020-03-16,MXN,2283.0,14141.0,292.0,0.0,0.0,2003_gwep_parquehacienda_pi_pfm_sem_2020-03-09,0.0,0.0,0.0,0.0,0,0,31,8,290.3225806451613,2322.5806451612902
430,gwep,parquehacienda,2004_gwep_parquehacienda_pi_pfm_fb,2004_gwep_parquehacienda_pi_pfm_fb_V2,V2,pi,pfm,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,parquehacienda,Facebook,2020-04-01,2020-04-30,2020-04-01,2020-04-30,6.0,1667.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,6.0,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,2642.6,34713.0,307.0,0.0,0.0,2004_gwep_parquehacienda_pi_pfm_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0,30,8,333.3333333333333,2666.6666666666665
