,cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,dias_mes,dias_semana,inversion_diaria,inversion_semanal
12,acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,,2020-04-01,2020-04-08,2020-04-01,2020-04-08,MXN,3699.41,515872.0,3211.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0,14,8,723.9642857142857,5791.714285714285
13,acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,6526.33,863762.0,5079.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-04-09,0.0,0.0,0.0,0.0,0,0,14,8,723.9642857142857,5791.714285714285
15,acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,12316.29,1611116.0,8739.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0,21,8,2166.6666666666665,17333.333333333332
16,acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,10706.06,1353631.0,7296.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0,21,7,2166.6666666666665,15166.666666666666
17,acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,,2020-03-09,2020-03-16,2020-03-13,2020-03-16,MXN,4277.65,542792.0,3169.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0,21,4,2166.6666666666665,8666.666666666666
18,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23,2020-03-24,9.0,500.0,0.0,4500.0,4500.0,6475.0,6475.0,0.0,9.0,,2020-03-17,2020-03-24,2020-03-23,2020-03-24,MXN,949.895,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0,12,2,375.0,750.0
19,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23,2020-03-31,9.0,500.0,0.0,4500.0,4500.0,6475.0,6475.0,0.0,9.0,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,3173.05,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0,12,7,375.0,2625.0
20,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23,2020-03-24,9.0,578.0,0.0,5200.0,5200.0,6475.0,6475.0,0.0,9.0,,2020-03-17,2020-03-24,2020-03-23,2020-03-24,MXN,949.895,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0,21,2,247.61904761904762,495.23809523809524
21,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23,2020-03-31,9.0,578.0,0.0,5200.0,5200.0,6475.0,6475.0,0.0,9.0,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,3173.05,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0,21,7,247.61904761904762,1733.3333333333333
25,acer,liverpool,2003_acer_liverpool_pi_mkt_fb,2003_acer_liverpool_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,liverpool,Facebook,2020-03-13,2020-03-16,2020-03-13,2020-03-16,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,,2020-03-09,2020-03-16,2020-03-13,2020-03-16,MXN,5250.0,550313.0,4914.0,0.0,0.0,2003_acer_liverpool_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0,4,4,3187.5,12750.0
26,acer,palacio,2003_acer_palacio_pi_mkt_fb,2003_acer_palacio_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,palacio,Facebook,2020-03-05,2020-03-15,2020-03-13,2020-03-15,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,,2020-03-09,2020-03-16,2020-03-13,2020-03-15,MXN,5250.0,471788.0,3003.0,0.0,0.0,2003_acer_palacio_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0,11,3,1159.090909090909,3477.272727272727
28,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05,2020-03-31,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-01,2020-03-08,2020-03-05,2020-03-08,MXN,3282.69,63983.0,509.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-01,0.0,0.0,0.0,0.0,0,0,31,4,1387.0967741935483,5548.387096774193
29,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05,2020-03-31,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,4856.03,56577.0,299.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0,31,8,1387.0967741935483,11096.774193548386
30,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05,2020-03-31,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-25,2020-03-31,2020-03-25,2020-03-31,MXN,3695.89,65704.0,194.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0,31,7,1387.0967741935483,9709.677419354837
