,cliente_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,dias_mes,dias_semana,kpi_planeado_diario,kpi_planeado_semanal,inversion_plataforma_diaria,inversion_plataforma_semanal,inversion_AdOps_diaria,inversion_AdOps_semanal,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
12,acer,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,13,23,1,330.0,330.0,1435.0,1435.0,1435.0,1435.0,2020-04-01,2020-04-08,2020-04-08,2020-04-08,MXN,0.0,17.0,2.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0
13,acer,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,14,23,8,330.0,2640.0,1435.0,11480.0,1435.0,11480.0,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,5085.0,481792.0,3601.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-09,0.0,0.0,0.0,0.0,0,0
14,acer,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-04-30,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,15,23,8,241.0,1928.0,603.0,4824.0,603.0,4824.0,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,6211.0,718929.5,5013.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-17,0.0,0.0,0.0,0.0,0,0
15,acer,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-05-06,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,16,23,6,241.0,1446.0,603.0,3618.0,603.0,3618.0,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,1275.0,295783.5,2315.5,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-25,0.0,0.0,0.0,0.0,0,0
16,acer,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-04-30,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,14,23,8,241.0,1928.0,603.0,4824.0,603.0,4824.0,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,2256.0,331667.5,2154.5,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-09,0.0,0.0,0.0,0.0,0,0
17,acer,2005_acer_clicktobuy_pi_mkt_fb,2005_acer_clicktobuy_pi_mkt_fb_V3,V3,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,clicktobuy,Facebook,2020-05-01,2020-05-06,2020-05-01,2020-05-06,4.35,554.0,0.0,2408.4,2408.4,2408.4,2408.4,0.0,4.35,17,6,6,92.0,552.0,401.0,2406.0,401.0,2406.0,2020-05-01,2020-05-08,2020-05-01,2020-05-06,MXN,2408.0,190429.0,4287.0,0.0,0.0,2005_acer_clicktobuy_pi_mkt_fb_2020-05-01,0.0,0.0,0.0,0.0,0,0
18,acer,2005_acer_clicktobuy_pi_mkt_gdn,2005_acer_clicktobuy_pi_mkt_gdn_V3,V3,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,clicktobuy,Google Display,2020-05-01,2020-05-06,2020-04-08,2020-05-06,2.5,2073.0,0.0,5183.49,5183.49,0.0,0.0,0.0,0.0,17,6,6,346.0,2076.0,864.0,5184.0,0.0,0.0,2020-05-01,2020-05-08,2020-05-01,2020-05-06,MXN,3326.0,1394921.0,11288.0,0.0,0.0,2005_acer_clicktobuy_pi_mkt_gdn_2020-05-01,0.0,0.0,0.0,0.0,0,0
20,acer,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,12,14,6,166.0,996.0,724.0,4344.0,724.0,4344.0,2020-03-25,2020-03-31,2020-03-26,2020-03-31,MXN,371.0,42747.0,636.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0
21,acer,2004_acer_encasa_pi_mkt_fb,2004_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,encasa,Facebook,2020-04-06,2020-04-30,2020-03-26,2020-04-30,4.35,3002.0,0.0,13050.0,13050.0,13050.0,13050.0,0.0,4.35,15,25,8,120.0,960.0,522.0,4176.0,522.0,4176.0,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,6928.0,876620.0,4603.0,0.0,0.0,2004_acer_encasa_pi_mkt_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0
22,acer,2004_acer_encasa_pi_mkt_fb,2004_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,encasa,Facebook,2020-04-06,2020-04-30,2020-03-26,2020-04-30,4.35,3002.0,0.0,13050.0,13050.0,13050.0,13050.0,0.0,4.35,16,25,6,120.0,720.0,522.0,3132.0,522.0,3132.0,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,5500.0,593174.0,3451.0,0.0,0.0,2004_acer_encasa_pi_mkt_fb_2020-04-25,0.0,0.0,0.0,0.0,0,0
23,acer,2004_acer_encasa_pi_mkt_fb,2004_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,encasa,Facebook,2020-04-06,2020-04-30,2020-03-26,2020-04-30,4.35,3002.0,0.0,13050.0,13050.0,13050.0,13050.0,0.0,4.35,13,25,8,120.0,960.0,522.0,4176.0,522.0,4176.0,2020-04-01,2020-04-08,2020-04-01,2020-04-08,MXN,3699.0,515872.0,3211.0,0.0,0.0,2004_acer_encasa_pi_mkt_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0
24,acer,2004_acer_encasa_pi_mkt_fb,2004_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,encasa,Facebook,2020-04-06,2020-04-30,2020-03-26,2020-04-30,4.35,3002.0,0.0,13050.0,13050.0,13050.0,13050.0,0.0,4.35,14,25,8,120.0,960.0,522.0,4176.0,522.0,4176.0,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,6526.0,863762.0,5079.0,0.0,0.0,2004_acer_encasa_pi_mkt_fb_2020-04-09,0.0,0.0,0.0,0.0,0,0
25,acer,2005_acer_hotsale_pi_mkt_fb,2005_acer_hotsale_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,hotsale,Facebook,2020-05-20,2020-06-01,2020-05-21,2020-06-01,3.26,7935.0,0.0,25500.0,25500.0,25500.0,25500.0,0.0,3.26,20,13,7,610.0,4270.0,1962.0,13734.0,1962.0,13734.0,2020-05-25,2020-05-31,2020-05-25,2020-05-31,MXN,10345.0,1090287.0,11118.0,0.0,0.0,2005_acer_hotsale_pi_mkt_fb_2020-05-25,0.0,0.0,0.0,0.0,0,0
26,acer,2005_acer_hotsale_pi_mkt_fb,2005_acer_hotsale_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,hotsale,Facebook,2020-05-20,2020-06-01,2020-05-21,2020-06-01,3.26,7935.0,0.0,25500.0,25500.0,25500.0,25500.0,0.0,3.26,19,13,4,610.0,2440.0,1962.0,7848.0,1962.0,7848.0,2020-05-17,2020-05-24,2020-05-21,2020-05-24,MXN,4857.0,467680.0,9099.0,0.0,0.0,2005_acer_hotsale_pi_mkt_fb_2020-05-17,0.0,0.0,0.0,0.0,0,0
27,acer,2005_acer_hotsale_pi_mkt_gdn,2005_acer_hotsale_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,hotsale,Google Display,2020-05-20,2020-06-01,2020-05-21,2020-06-01,2.5,1800.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0,20,13,7,138.0,966.0,346.0,2422.0,0.0,0.0,2020-05-25,2020-05-31,2020-05-25,2020-05-31,MXN,2660.0,265946.0,1492.0,0.0,0.0,2005_acer_hotsale_pi_mkt_gdn_2020-05-25,0.0,0.0,0.0,0.0,0,0
28,acer,2005_acer_hotsale_pi_mkt_gdn,2005_acer_hotsale_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,hotsale,Google Display,2020-05-20,2020-06-01,2020-05-21,2020-06-01,2.5,1800.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0,19,13,4,138.0,552.0,346.0,1384.0,0.0,0.0,2020-05-17,2020-05-24,2020-05-21,2020-05-24,MXN,1325.0,131745.0,737.0,0.0,0.0,2005_acer_hotsale_pi_mkt_gdn_2020-05-17,0.0,0.0,0.0,0.0,0,0
29,acer,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13,2020-03-31,3.26,14203.0,0.0,45500.0,45500.0,45500.0,45500.0,0.0,3.26,11,21,8,676.0,5408.0,2167.0,17336.0,2167.0,17336.0,2020-03-17,2020-03-24,2020-03-17,2020-03-24,MXN,12316.0,1611116.0,8739.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0
