,cliente_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,dias_mes,dias_semana,kpi_planeado_diario,kpi_planeado_semanal,inversion_plataforma_diaria,inversion_plataforma_semanal,inversion_AdOps_diaria,inversion_AdOps_semanal,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
704,od,2005_od_bionet_ppf_pfm_sem,2005_od_bionet_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,bionet,Google Search,2020-05-01,2020-06-01,2020-05-01,2020-05-31,9.78,3067.0,0.0,30000.0,30000.0,27600.0,27600.0,0.0,9.0,19,32,8,96.0,768.0,938.0,7504.0,862.0,6896.0,2020-05-17,2020-05-24,2020-05-17,2020-05-24,MXN,8004.0,5633.0,226.0,0.0,0.0,2005_od_bionet_ppf_pfm_sem_2020-05-17,0.0,0.0,0.0,0.0,0,0
706,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.0,3519.0,0.0,14076.0,14076.0,14076.0,14076.0,0.0,4.0,3,17,8,207.0,1656.0,828.0,6624.0,828.0,6624.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,6367.0,291189.0,894.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0
707,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.0,3519.0,0.0,14076.0,14076.0,14076.0,14076.0,0.0,4.0,2,17,1,207.0,207.0,828.0,828.0,828.0,828.0,2020-01-09,2020-01-16,2020-01-16,2020-01-16,MXN,412.0,17935.0,56.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0
708,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.0,3519.0,0.0,14076.0,14076.0,14076.0,14076.0,0.0,4.0,4,17,7,207.0,1449.0,828.0,5796.0,828.0,5796.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,5729.0,343042.0,1044.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
709,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.35,3519.0,0.0,15300.0,15300.0,14076.0,14076.0,0.0,4.0,3,17,8,207.0,1656.0,900.0,7200.0,828.0,6624.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,6367.0,291189.0,894.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0
710,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.35,3519.0,0.0,15300.0,15300.0,14076.0,14076.0,0.0,4.0,2,17,1,207.0,207.0,900.0,900.0,828.0,828.0,2020-01-09,2020-01-16,2020-01-16,2020-01-16,MXN,412.0,17935.0,56.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0
711,od,2001_od_brother-impresion_ppf_pfm_fb,2001_od_brother-impresion_ppf_pfm_fb_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Facebook,2020-01-15,2020-01-31,2020-01-16,2020-01-31,4.35,3519.0,0.0,15300.0,15300.0,14076.0,14076.0,0.0,4.0,4,17,7,207.0,1449.0,900.0,6300.0,828.0,5796.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,5729.0,343042.0,1044.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
714,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.0,1825.0,0.0,16422.0,16422.0,16422.0,16422.0,0.0,9.0,3,17,8,107.0,856.0,966.0,7728.0,966.0,7728.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,4142.0,9432.0,544.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0
715,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.0,1825.0,0.0,16422.0,16422.0,16422.0,16422.0,0.0,9.0,2,17,2,107.0,214.0,966.0,1932.0,966.0,1932.0,2020-01-09,2020-01-16,2020-01-15,2020-01-16,MXN,761.0,1229.0,82.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0
716,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_V1,V1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.0,1825.0,0.0,16422.0,16422.0,16422.0,16422.0,0.0,9.0,4,17,7,107.0,749.0,966.0,6762.0,966.0,6762.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,8181.0,22632.0,1337.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0
717,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.78,1825.0,0.0,17850.0,17850.0,16422.0,16422.0,0.0,9.0,3,17,8,107.0,856.0,1050.0,8400.0,966.0,7728.0,2020-01-17,2020-01-24,2020-01-17,2020-01-24,MXN,4142.0,9432.0,544.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0
718,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.78,1825.0,0.0,17850.0,17850.0,16422.0,16422.0,0.0,9.0,2,17,2,107.0,214.0,1050.0,2100.0,966.0,1932.0,2020-01-09,2020-01-16,2020-01-15,2020-01-16,MXN,761.0,1229.0,82.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0
719,od,2001_od_brother-impresion_ppf_pfm_sem,2001_od_brother-impresion_ppf_pfm_sem_VC1,VC1,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,brother-impresion,Google Search,2020-01-15,2020-01-31,2020-01-15,2020-02-29,9.78,1825.0,0.0,17850.0,17850.0,16422.0,16422.0,0.0,9.0,4,17,7,107.0,749.0,1050.0,7350.0,966.0,6762.0,2020-01-25,2020-01-31,2020-01-25,2020-01-31,MXN,8181.0,22632.0,1337.0,0.0,0.0,2001_od_brother-impresion_ppf_pfm_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0
720,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,7,29,8,3721.0,29768.0,135.0,1080.0,86.0,688.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,1869.0,51548.0,37.0,34.0,54579.03,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-17,34.0,0.0,54579.03,0.0,0,0
721,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,8,29,5,3721.0,18605.0,135.0,675.0,86.0,430.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,855.0,23588.0,14.0,45.0,93333.23,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-25,45.0,0.0,93333.23,0.0,0,0
722,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,5,29,8,3721.0,29768.0,135.0,1080.0,86.0,688.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2288.0,63124.0,28.0,1.0,258.0,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-01,1.0,0.0,258.0,0.0,0,0
723,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,6,29,8,3721.0,29768.0,135.0,1080.0,86.0,688.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,1836.0,50644.0,30.0,9.0,27439.600000000002,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-09,9.0,0.0,27439.600000000002,0.0,0,0
724,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,9,29,0,3721.0,0.0,135.0,0.0,86.0,0.0,2020-03-01,2020-03-08,2020-03-01,2020-02-29,MXN,223.0,6156.0,4.0,32.0,48892.85,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-01,0.0,32.0,0.0,48892.85,0,0
725,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,11,29,0,3721.0,0.0,135.0,0.0,86.0,0.0,2020-03-17,2020-03-24,2020-03-17,2020-02-29,MXN,0.0,0.0,0.0,14.0,43080.01,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-17,0.0,14.0,0.0,43080.01,0,0
726,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,12,29,0,3721.0,0.0,135.0,0.0,86.0,0.0,2020-03-25,2020-03-31,2020-03-25,2020-02-29,MXN,0.0,0.0,0.0,2.0,2297.4,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-25,0.0,2.0,0.0,2297.4,0,0
727,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,36.25,107911.0,142.44,3911.7200000000003,4054.16,2635.2,2492.76,142.44,23.1,10,29,0,3721.0,0.0,135.0,0.0,86.0,0.0,2020-03-09,2020-03-16,2020-03-09,2020-02-29,MXN,0.0,1.0,0.0,32.0,83261.67,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-09,0.0,32.0,0.0,83261.67,0,0
728,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,7,29,8,3721.0,29768.0,152.0,1216.0,86.0,688.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,2105.0,51548.0,37.0,34.0,54579.03,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-17,34.0,0.0,54579.03,0.0,0,0
729,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,8,29,5,3721.0,18605.0,152.0,760.0,86.0,430.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,963.0,23588.0,14.0,45.0,93333.23,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-25,45.0,0.0,93333.23,0.0,0,0
730,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,5,29,8,3721.0,29768.0,152.0,1216.0,86.0,688.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2578.0,63124.0,28.0,1.0,258.0,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-01,1.0,0.0,258.0,0.0,0,0
731,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,6,29,8,3721.0,29768.0,152.0,1216.0,86.0,688.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2068.0,50644.0,30.0,9.0,27439.600000000002,2002_od_brother-impresion_ppf_pfm_dsp_2020-02-09,9.0,0.0,27439.600000000002,0.0,0,0
732,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,9,29,0,3721.0,0.0,152.0,0.0,86.0,0.0,2020-03-01,2020-03-08,2020-03-01,2020-02-29,MXN,251.0,6156.0,4.0,32.0,48892.85,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-01,0.0,32.0,0.0,48892.85,0,0
733,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,11,29,0,3721.0,0.0,152.0,0.0,86.0,0.0,2020-03-17,2020-03-24,2020-03-17,2020-02-29,MXN,0.0,0.0,0.0,14.0,43080.01,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-17,0.0,14.0,0.0,43080.01,0,0
734,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,12,29,0,3721.0,0.0,152.0,0.0,86.0,0.0,2020-03-25,2020-03-31,2020-03-25,2020-02-29,MXN,0.0,0.0,0.0,2.0,2297.4,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-25,0.0,2.0,0.0,2297.4,0,0
735,od,2002_od_brother-impresion_ppf_pfm_dsp,2002_od_brother-impresion_ppf_pfm_dsp_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Programmatic,2020-02-01,2020-02-29,2020-02-01,2020-02-29,40.84,107911.0,0.0,4406.7,4406.7,2635.2,2492.76,142.44,23.1,10,29,0,3721.0,0.0,152.0,0.0,86.0,0.0,2020-03-09,2020-03-16,2020-03-09,2020-02-29,MXN,0.0,1.0,0.0,32.0,83261.67,2002_od_brother-impresion_ppf_pfm_dsp_2020-03-09,0.0,32.0,0.0,83261.67,0,0
736,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.0,1445.0,0.0,5778.870000000001,5778.870000000001,5778.870000000001,5778.870000000001,0.0,4.0,7,29,8,50.0,400.0,199.0,1592.0,199.0,1592.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,13.0,697.0,1.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0
737,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.0,1445.0,0.0,5778.870000000001,5778.870000000001,5778.870000000001,5778.870000000001,0.0,4.0,5,29,8,50.0,400.0,199.0,1592.0,199.0,1592.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,3204.0,142849.0,586.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0
738,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.0,1445.0,0.0,5778.870000000001,5778.870000000001,5778.870000000001,5778.870000000001,0.0,4.0,6,29,8,50.0,400.0,199.0,1592.0,199.0,1592.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2084.0,74604.0,281.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0
739,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.35,1445.0,0.0,6281.38,6281.38,5778.870000000001,5778.870000000001,0.0,4.0,7,29,8,50.0,400.0,217.0,1736.0,199.0,1592.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,13.0,697.0,1.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0
740,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.35,1445.0,0.0,6281.38,6281.38,5778.870000000001,5778.870000000001,0.0,4.0,5,29,8,50.0,400.0,217.0,1736.0,199.0,1592.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,3204.0,142849.0,586.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0
741,od,2002_od_brother-impresion_ppf_pfm_fb,2002_od_brother-impresion_ppf_pfm_fb_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Facebook,2020-02-01,2020-02-29,2020-02-01,2020-02-29,4.35,1445.0,0.0,6281.38,6281.38,5778.870000000001,5778.870000000001,0.0,4.0,6,29,8,50.0,400.0,217.0,1736.0,199.0,1592.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2084.0,74604.0,281.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0
744,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,747.0,0.0,6726.969999999999,6726.969999999999,6726.969999999999,6726.969999999999,0.0,9.0,7,29,8,26.0,208.0,232.0,1856.0,232.0,1856.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,524.0,3544.0,236.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-17,0.0,0.0,0.0,0.0,0,0
745,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,747.0,0.0,6726.969999999999,6726.969999999999,6726.969999999999,6726.969999999999,0.0,9.0,8,29,5,26.0,130.0,232.0,1160.0,232.0,1160.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,375.0,3286.0,208.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-25,0.0,0.0,0.0,0.0,0,0
746,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,747.0,0.0,6726.969999999999,6726.969999999999,6726.969999999999,6726.969999999999,0.0,9.0,5,29,8,26.0,208.0,232.0,1856.0,232.0,1856.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2369.0,15432.0,767.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0
747,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_V2,V2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.0,747.0,0.0,6726.969999999999,6726.969999999999,6726.969999999999,6726.969999999999,0.0,9.0,6,29,8,26.0,208.0,232.0,1856.0,232.0,1856.0,2020-02-09,2020-02-16,2020-02-09,2020-02-16,MXN,2491.0,14690.0,978.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-09,0.0,0.0,0.0,0.0,0,0
748,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,747.0,0.0,7311.92,7311.92,6726.969999999999,6726.969999999999,0.0,9.0,7,29,8,26.0,208.0,252.0,2016.0,232.0,1856.0,2020-02-17,2020-02-24,2020-02-17,2020-02-24,MXN,524.0,3544.0,236.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-17,0.0,0.0,0.0,0.0,0,0
749,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,747.0,0.0,7311.92,7311.92,6726.969999999999,6726.969999999999,0.0,9.0,8,29,5,26.0,130.0,252.0,1260.0,232.0,1160.0,2020-02-25,2020-02-29,2020-02-25,2020-02-29,MXN,375.0,3286.0,208.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-25,0.0,0.0,0.0,0.0,0,0
750,od,2002_od_brother-impresion_ppf_pfm_sem,2002_od_brother-impresion_ppf_pfm_sem_VC2,VC2,ppf,pfm,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,brother-impresion,Google Search,2020-02-01,2020-02-29,2020-02-01,2020-02-29,9.78,747.0,0.0,7311.92,7311.92,6726.969999999999,6726.969999999999,0.0,9.0,5,29,8,26.0,208.0,252.0,2016.0,232.0,1856.0,2020-02-01,2020-02-08,2020-02-01,2020-02-08,MXN,2369.0,15432.0,767.0,0.0,0.0,2002_od_brother-impresion_ppf_pfm_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0
