,cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
12,acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_11,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-24 00:00:00,MXN,12316.29,1611116.0,8739.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0
13,acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11,2020-03-31,2020-03-13 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_12,2020-03-25 00:00:00,2020-03-31 00:00:00,2020-03-25 00:00:00,2020-03-31 00:00:00,MXN,10706.06,1353631.0,7296.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0
15,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23 00:00:00,2020-03-24 00:00:00,9.0,500.0,0.0,4500.0,4500.0,6475.0,6475.0,0.0,9.0,semana_11,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,MXN,949.895,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0
16,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05,2020-03-16,2020-03-23 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_12,2020-03-25 00:00:00,2020-03-31 00:00:00,2020-03-25 00:00:00,2020-03-31 00:00:00,MXN,3173.05,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0
17,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23 00:00:00,2020-03-24 00:00:00,9.0,578.0,0.0,5200.0,5200.0,6475.0,6475.0,0.0,9.0,semana_11,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,MXN,949.895,3247.5,170.0,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0
18,acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11,2020-03-31,2020-03-23 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_12,2020-03-25 00:00:00,2020-03-31 00:00:00,2020-03-25 00:00:00,2020-03-31 00:00:00,MXN,3173.05,11242.0,555.5,0.0,0.0,2003_acer_intelgaming_pi_mkt_sem_2020-03-25,0.0,0.0,0.0,0.0,0,0
22,acer,liverpool,2003_acer_liverpool_pi_mkt_fb,2003_acer_liverpool_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,liverpool,Facebook,2020-03-13,2020-03-16,2020-03-13 00:00:00,2020-03-16 00:00:00,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,semana_10,2020-03-09 00:00:00,2020-03-16 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,MXN,5250.0,550313.0,4914.0,0.0,0.0,2003_acer_liverpool_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
23,acer,palacio,2003_acer_palacio_pi_mkt_fb,2003_acer_palacio_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,palacio,Facebook,2020-03-05,2020-03-15,2020-03-13 00:00:00,2020-03-15 00:00:00,3.26,3968.0,0.0,12750.0,12750.0,12750.0,12750.0,0.0,3.26,semana_10,2020-03-09 00:00:00,2020-03-16 00:00:00,2020-03-13 00:00:00,2020-03-15 00:00:00,MXN,5250.0,471788.0,3003.0,0.0,0.0,2003_acer_palacio_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
25,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05 00:00:00,2020-03-31 00:00:00,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,semana_9,2020-03-01 00:00:00,2020-03-08 00:00:00,2020-03-05 00:00:00,2020-03-08 00:00:00,MXN,3282.69,63983.0,509.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-01,0.0,0.0,0.0,0.0,0,0
28,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_10,2020-03-09 00:00:00,2020-03-16 00:00:00,2020-03-09 00:00:00,2020-03-16 00:00:00,MXN,5319.49,58209.0,279.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-09,0.0,0.0,0.0,0.0,0,0
26,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_11,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-24 00:00:00,MXN,4856.03,56577.0,299.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-17,0.0,0.0,0.0,0.0,0,0
27,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01,2020-03-31,2020-03-05 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_12,2020-03-25 00:00:00,2020-03-31 00:00:00,2020-03-25 00:00:00,2020-03-31 00:00:00,MXN,3695.89,65704.0,194.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0
29,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_sem,2003_gicsa_explanadaculiacan_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,2020-03-01,2020-03-31,2020-03-06 00:00:00,2020-03-31 00:00:00,12.0,1792.0,0.0,21500.0,21500.0,21500.0,21500.0,0.0,12.0,semana_9,2020-03-01 00:00:00,2020-03-08 00:00:00,2020-03-06 00:00:00,2020-03-08 00:00:00,MXN,37.3,15.0,5.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-01,0.0,0.0,0.0,0.0,0,0
30,gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_sem,2003_gicsa_explanadaculiacan_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,2020-03-01,2020-03-31,2020-03-06 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_11,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-24 00:00:00,MXN,181.57,522.0,5.0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-17,0.0,0.0,0.0,0.0,0,0
31,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-02 00:00:00,2020-01-31 00:00:00,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,semana_1,2020-01-01 00:00:00,2020-01-08 00:00:00,2020-01-02 00:00:00,2020-01-08 00:00:00,MXN,6659.599999999999,1145525.0,2187.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01,0.0,0.0,0.0,0.0,0,0
33,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03 00:00:00,2020-01-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_2,2020-01-09 00:00:00,2020-01-16 00:00:00,2020-01-09 00:00:00,2020-01-16 00:00:00,MXN,10512.81,1608418.0,3503.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-09,0.0,0.0,0.0,0.0,0,0
32,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03 00:00:00,2020-01-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_3,2020-01-17 00:00:00,2020-01-24 00:00:00,2020-01-17 00:00:00,2020-01-24 00:00:00,MXN,9586.48,1550672.0,2772.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-17,0.0,0.0,0.0,0.0,0,0
34,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01,2020-01-31,2020-01-03 00:00:00,2020-01-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_4,2020-01-25 00:00:00,2020-01-31 00:00:00,2020-01-25 00:00:00,2020-01-31 00:00:00,MXN,10046.770000000002,1699349.0,3104.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
37,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06 00:00:00,2020-03-31 00:00:00,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,semana_1,2020-01-01 00:00:00,2020-01-08 00:00:00,2020-01-01 00:00:00,2020-01-08 00:00:00,MXN,2564.22,11585.0,3514.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-01,0.0,0.0,0.0,0.0,0,0
39,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_2,2020-01-09 00:00:00,2020-01-16 00:00:00,2020-01-09 00:00:00,2020-01-16 00:00:00,MXN,3891.36,14902.0,3152.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-09,0.0,0.0,0.0,0.0,0,0
38,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_3,2020-01-17 00:00:00,2020-01-24 00:00:00,2020-01-17 00:00:00,2020-01-24 00:00:00,MXN,3384.99,17650.0,3584.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-17,0.0,0.0,0.0,0.0,0,0
40,gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01,2020-01-31,2019-09-06 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_4,2020-01-25 00:00:00,2020-01-31 00:00:00,2020-01-25 00:00:00,2020-01-31 00:00:00,MXN,3035.41,17203.0,2826.0,0.0,0.0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-25,0.0,0.0,0.0,0.0,0,0
41,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-01-31 00:00:00,2020-02-02 00:00:00,2.825,36421.0,0.0,38700.0,38700.0,38700.0,38700.0,0.0,2.825,semana_4,2020-01-25 00:00:00,2020-01-31 00:00:00,2020-01-31 00:00:00,2020-01-31 00:00:00,MXN,25.48,2340.0,0.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-01-25,0.0,0.0,0.0,0.0,0,0
44,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-01-31 00:00:00,2020-02-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_5,2020-02-01 00:00:00,2020-02-08 00:00:00,2020-02-01 00:00:00,2020-02-08 00:00:00,MXN,9781.86,1390719.0,2811.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-02-01,0.0,0.0,0.0,0.0,0,0
45,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-02-01 00:00:00,2020-02-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_6,2020-02-09 00:00:00,2020-02-16 00:00:00,2020-02-09 00:00:00,2020-02-16 00:00:00,MXN,11292.58,1331429.0,3178.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-02-09,0.0,0.0,0.0,0.0,0,0
42,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-02-01 00:00:00,2020-02-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_7,2020-02-17 00:00:00,2020-02-24 00:00:00,2020-02-17 00:00:00,2020-02-24 00:00:00,MXN,9475.16,1200452.0,2279.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-02-17,0.0,0.0,0.0,0.0,0,0
43,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-02-01 00:00:00,2020-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_8,2020-02-25 00:00:00,2020-02-29 00:00:00,2020-02-25 00:00:00,2020-02-29 00:00:00,MXN,6093.4800000000005,650729.0,1244.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-02-25,0.0,0.0,0.0,0.0,0,0
46,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01,2020-02-28,2020-02-27 00:00:00,2020-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_9,2020-03-01 00:00:00,2020-03-08 00:00:00,2020-03-01 00:00:00,2020-03-05 00:00:00,MXN,749.13,111761.0,230.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-03-01,0.0,0.0,0.0,0.0,0,0
51,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_sem,2002_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,2020-02-01,2020-02-28,2019-09-06 00:00:00,2020-03-31 00:00:00,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,semana_5,2020-02-01 00:00:00,2020-02-08 00:00:00,2020-02-01 00:00:00,2020-02-08 00:00:00,MXN,3843.38,20402.0,2977.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_sem_2020-02-01,0.0,0.0,0.0,0.0,0,0
52,gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_sem,2002_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,2020-02-01,2020-02-28,2019-09-06 00:00:00,2020-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semana_6,2020-02-09 00:00:00,2020-02-16 00:00:00,2020-02-09 00:00:00,2020-02-16 00:00:00,MXN,3815.96,18832.0,2773.0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_sem_2020-02-09,0.0,0.0,0.0,0.0,0,0
